ccyy-mm,time,alpha,beta,gamma,sec57-weight,month-weight,short-weight,direction,di
2015-01,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2015-02,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2015-03,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2015-04,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2015-05,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2015-06,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2015-07,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2015-08,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2015-09,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2015-10,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2015-11,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2015-12,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-01,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-02,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-03,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-04,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-05,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-06,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-07,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-08,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-09,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-10,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-11,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2016-12,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2017-01,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2017-02,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2017-03,11:29:00,0.50000000000000000000,0.50000000000000000000,0.50000000000000000000,0.5,0.9,0.125,-1,300
2017-04,11:29:00,0.79413875730247200000,0.19887639312200000000,0.14388605200000000000,0.5,0.9,0.125,-1,300
2017-05,11:29:00,0.71008963277475200000,0.20302386874657300000,0.16612772986553200000,0.5,0.9,0.125,-1,300
2017-06,11:29:00,0.77710731345870500000,0.17915441655098700000,0.12059882857326000000,0.5,0.9,0.125,-1,300
2017-07,11:29:00,0.63627978009908100000,0.23751871161640800000,0.22356251096625300000,0.5,0.9,0.125,-1,300
